42.89,82.56,64.0,-14.43,124.0
30.05,56.45,43.12,-5.65,70.86
37.76,50.84,39.96,-14.28,1.0
43.14,103.12,70.52,4.5,126.55
45.46,121.9,93.34,14.23,124.11
45.94,78.31,58.08,8.0,126.62
38.63,90.54,56.01,-2.69,106.62
44.61,119.9,61.37,-0.79,58.88
33.8,102.55,93.52,3.09,7.04
45.04,104.14,88.03,-4.95,78.99
31.14,84.46,53.47,-11.59,166.1
44.3,117.95,84.31,3.4,15.23
44.33,66.77,57.64,-12.13,84.37
45.18,117.4,72.46,10.96,30.07
37.39,103.82,79.72,-6.84,6.41
35.06,60.49,44.39,5.79,104.84
35.21,98.46,71.88,12.91,86.39
42.66,118.71,109.24,-3.15,140.92
43.24,93.14,71.41,3.91,104.68
39.41,89.99,77.15,-11.52,175.37
35.51,57.19,42.73,11.86,80.97
45.25,98.62,95.25,10.14,169.71
45.21,116.74,52.11,9.89,11.47
35.98,90.38,42.49,-13.94,43.99
30.41,93.62,88.13,-13.73,85.89
41.99,123.08,116.14,-12.83,90.82
43.24,59.46,56.54,14.35,9.98
37.84,51.49,50.5,7.41,149.35
44.15,98.27,47.53,6.25,103.49
37.39,106.36,53.14,8.89,48.3
44.89,61.81,56.17,-6.91,82.26
40.27,78.18,62.7,0.1,15.83
45.99,100.16,91.68,6.44,168.81
47.03,82.15,50.04,7.85,123.21
39.84,113.5,98.88,9.17,33.26
37.35,109.66,38.98,5.44,89.46
41.2,89.22,43.05,9.54,1.41
43.54,88.86,50.06,14.32,103.0
31.17,71.69,47.0,8.28,8.08
49.14,94.45,90.38,2.76,126.64
43.0,80.21,66.67,9.4,127.73
48.47,101.2,82.55,-13.23,177.55
30.64,129.76,94.05,-7.81,168.22
49.68,122.69,53.47,8.58,93.27
34.14,61.42,37.72,0.53,31.22
32.29,113.57,40.19,0.19,72.96
33.58,124.5,67.43,7.65,109.99
36.27,58.94,55.81,3.6,133.59
47.28,80.23,51.09,11.0,133.68
43.38,126.42,114.04,-11.62,33.89
48.32,65.08,57.74,11.23,143.22
30.96,67.54,46.66,-14.0,108.13
38.41,89.7,88.75,11.29,37.26
39.18,81.36,65.09,-3.17,75.57
42.63,123.84,46.11,-6.25,136.29
42.29,78.24,52.36,2.87,80.89
45.64,106.97,64.29,0.55,120.17
48.09,107.74,79.15,-7.09,135.54
47.34,124.45,64.62,2.92,39.46
31.7,63.23,38.48,0.57,62.98
34.56,87.97,81.72,-5.67,1.87
30.56,91.42,42.67,13.44,23.29
33.4,113.02,47.37,-8.98,34.54
32.08,91.29,90.29,-7.03,131.96
41.91,83.31,42.76,-4.57,173.24
39.55,128.27,114.4,-3.13,139.37
37.96,105.45,91.75,-8.46,98.37
35.54,101.36,38.3,8.84,26.39
49.19,59.97,51.25,13.82,20.75
41.37,98.61,96.33,6.51,39.98
48.28,85.53,72.71,2.92,20.73
43.46,117.92,116.65,-8.05,89.32
38.74,91.63,77.79,-7.16,132.21
45.14,87.99,76.12,12.59,138.4
43.85,73.53,55.7,-7.43,20.17
37.76,126.6,51.59,14.88,79.57
40.13,124.76,55.51,8.32,8.89
44.68,50.73,45.26,-11.77,137.72
46.59,55.11,52.75,-6.59,56.29
34.04,125.97,97.89,-7.98,69.33
34.95,111.94,111.92,10.03,113.08
35.83,94.85,89.83,-3.76,58.06
41.84,60.86,50.85,11.16,109.38
36.51,78.19,70.81,-14.53,133.04
43.47,101.29,72.86,-7.98,93.02
48.34,93.16,54.93,9.68,46.54
38.54,127.26,87.34,4.47,141.03
47.72,122.78,99.56,6.04,32.47
44.85,83.61,73.77,13.25,84.28
30.4,81.08,71.26,5.85,21.61
41.3,109.73,95.13,-11.03,12.95
49.26,90.68,89.06,0.3,136.14
34.63,74.68,69.85,-11.13,59.58
42.63,86.97,79.67,5.66,75.69
36.22,91.07,54.52,-4.17,8.91
45.34,113.57,112.46,7.19,164.68
45.98,52.12,48.06,5.02,120.44
35.11,51.02,45.49,6.91,34.8
45.87,69.87,67.83,-1.14,42.11
44.14,81.07,60.19,9.4,111.0
